"Date","Price","Open","High","Low","Change %"
"12/28/2022","14.4900","14.4900","14.4900","14.4900","0.00%"
"12/27/2022","14.4900","14.4900","14.4900","14.4900","-0.07%"
"12/26/2022","14.5000","14.5000","14.5000","14.5000","0.07%"
"12/23/2022","14.4900","14.4900","14.4900","14.4900","0.00%"
"12/22/2022","14.4900","14.4900","14.4900","14.4900","0.00%"
"12/21/2022","14.4900","14.4900","14.4900","14.4900","0.00%"
"12/20/2022","14.4900","14.4900","14.4900","14.4900","0.00%"
"12/19/2022","14.4900","14.4900","14.4900","14.4900","0.00%"
"12/16/2022","14.4900","14.4900","14.4900","14.4900","0.00%"
"12/15/2022","14.4900","14.4900","14.4900","14.4900","0.00%"
"12/14/2022","14.4900","14.4900","14.4900","14.4900","0.00%"
"12/13/2022","14.4900","14.4900","14.4900","14.4900","0.00%"
"12/12/2022","14.4900","14.4900","14.4900","14.4900","0.00%"
"12/09/2022","14.4900","14.4900","14.4900","14.4900","0.00%"
"12/08/2022","14.4900","14.4900","14.4900","14.4900","0.00%"
"12/07/2022","14.4900","14.4900","14.4900","14.4900","0.00%"
"12/06/2022","14.4900","14.4900","14.4900","14.4900","-14.31%"
"12/05/2022","16.9100","16.9100","16.9100","16.9100","0.00%"
"12/02/2022","16.9100","16.9100","16.9100","16.9100","-11.19%"
"12/01/2022","19.0400","19.0400","19.0400","19.0400","-1.55%"
"11/30/2022","19.3400","19.3400","19.3400","19.3400","0.00%"
"11/29/2022","19.3400","19.3400","19.3400","19.3400","0.00%"
"11/28/2022","19.3400","19.3400","19.3400","19.3400","0.00%"
"11/25/2022","19.3400","19.3400","19.3400","19.3400","0.00%"
"11/24/2022","19.3400","19.3400","19.3400","19.3400","-0.97%"
"11/23/2022","19.5300","19.5300","19.5300","19.5300","1.03%"
"11/22/2022","19.3300","19.3300","19.3300","19.3300","0.00%"
"11/21/2022","19.3300","19.3300","19.3300","19.3300","0.05%"
"11/18/2022","19.3200","19.3200","19.3200","19.3200","0.00%"
"11/17/2022","19.3200","19.3200","19.3200","19.3200","-1.28%"
"11/16/2022","19.5700","19.5700","19.5700","19.5700","1.29%"
"11/15/2022","19.3200","19.3200","19.3200","19.3200","0.00%"
"11/14/2022","19.3200","19.3200","19.3200","19.3200","0.00%"
"11/11/2022","19.3200","19.3200","19.3200","19.3200","0.00%"
"11/10/2022","19.3200","19.3200","19.3200","19.3200","-1.43%"
"11/09/2022","19.6000","19.6000","19.6000","19.6000","1.45%"
"11/08/2022","19.3200","19.3200","19.3200","19.3200","0.00%"
"11/07/2022","19.3200","19.3200","19.3200","19.3200","0.00%"
"11/04/2022","19.3200","19.3200","19.3200","19.3200","0.00%"
"11/03/2022","19.3200","19.3200","19.3200","19.3200","2.71%"
"11/02/2022","18.8100","18.8100","18.8100","18.8100","-2.59%"
"11/01/2022","19.3100","19.3100","19.3100","19.3100","14.33%"
"10/31/2022","16.8900","16.8900","16.8900","16.8900","0.00%"
"10/28/2022","16.8900","16.8900","16.8900","16.8900","0.00%"
"10/27/2022","16.8900","16.8900","16.8900","16.8900","0.00%"
"10/26/2022","16.8900","16.8900","16.8900","16.8900","0.00%"
"10/25/2022","16.8900","16.8900","16.8900","16.8900","-12.53%"
"10/24/2022","19.3100","19.3100","19.3100","19.3100","0.05%"
"10/21/2022","19.3000","19.3000","19.3000","19.3000","0.00%"
"10/20/2022","19.3000","19.3000","19.3000","19.3000","0.00%"
"10/19/2022","19.3000","19.3000","19.3000","19.3000","0.00%"
"10/18/2022","19.3000","19.3000","19.3000","19.3000","0.00%"
"10/17/2022","19.3000","19.3000","19.3000","19.3000","-11.14%"
"10/14/2022","21.7200","21.7200","21.7200","21.7200","0.00%"
"10/13/2022","21.7200","21.7200","21.7200","21.7200","0.05%"
"10/12/2022","21.7100","21.7100","21.7100","21.7100","12.55%"
"10/11/2022","19.2900","19.2900","19.2900","19.2900","0.00%"
"10/10/2022","19.2900","19.2900","19.2900","19.2900","0.00%"
"10/07/2022","19.2900","19.2900","19.2900","19.2900","0.00%"
"10/06/2022","19.2900","19.2900","19.2900","19.2900","14.34%"
"10/05/2022","16.8700","16.8700","16.8700","16.8700","0.00%"
"10/04/2022","16.8700","16.8700","16.8700","16.8700","0.00%"
"10/03/2022","16.8700","16.8700","16.8700","16.8700","0.06%"
"09/30/2022","16.8600","16.8600","16.8600","16.8600","9.41%"
